,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
4299,,5322,22/02/2016,Lightsource Renewable Energy,Land at Pollington Airfield,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land at Pollington Airfield, Gowdall Lane, Pollington, Goole, Humberside",Humberside,Yorkshire and Humber,England,DN14 0AU,"461,763","420,079",East Riding of Yorkshire Council,,,,,,15/05/2015,,,,,,,24/07/2015,,,,24/07/2018,02/11/2015,21/12/2015
4300,,5323,15/12/2016,Swancote Energy,Swancote Farm,Anaerobic Digestion,,,1.2,Yes,,,,,,,,Operational,Operational,"Swancote Energy Ltd, , Anaerobic Digestion Plant At, Swancote Farm, Swancote, Bridgnorth, Shropshire",Shropshire,West Midlands,England,WV15 5HB,"374,234","293,942",Shropshire Council,,,,,,20/05/2015,,,,,,,17/08/2015,,,,17/08/2018,01/09/2015,01/08/2016
4301,,5324,27/07/2018,Sunsave 13 (Southwick),"Land at Poles Hole Farm     
",Solar Photovoltaics,,,6.8,,,,,,,,Ground,Operational,Operational,"Land at Poles Hole Farm, Southwick, Trowbridge, Wiltshire",Wiltshire,South West,England,BA14 9PP,"383,960","154,595",Wiltshire Council,,,,,,20/05/2015,,,,,,,29/10/2015,,,,29/10/2018,15/07/2016,01/03/2017
4305,,5328,18/08/2016,Lightsource Renewable Energy,"Staining Wood Farm
",Solar Photovoltaics,,,4.9,,,,,,,,Ground,Operational,Operational,"Staining Wood Farm, Preston New Road, Westby, Preston",Lancashire,North West,England,PR4 3PH,"336,844","432,004",Fylde Borough Council,,,,,,18/05/2015,,,,,,,30/09/2015,,,,29/09/2015,04/01/2016,30/03/2016
4307,,5330,22/03/2016,INRG Solar,"Land between Orton Park Farm    
",Solar Photovoltaics,,,6.4,,,,,,,,Ground,Operational,Operational,"Land between Orton Park Farm, Newby West, Carlisle",Cumbria,North West,England,CA2 6QY,"336,729","553,838",Carlisle City Council,,,,,,11/05/2015,,,,,,,23/09/2015,,,,23/09/2018,22/01/2016,29/03/2016
4308,,5331,18/04/2017,RAD Energy One/ Island Green Power,Ballinderry Road Solar Phase 2 (Lisburn),Solar Photovoltaics,,,7,,,,,,,,Ground,Operational,Operational,"Lands immediately north east o, Moneybroom Road, the junction of Ballinderry Rd, Lisburn",Co. Antrim,Northern Ireland,Northern Ireland,BT28 2QP,"135,485","520,798",Lisburn and Castlereagh City Council,,,,,,19/05/2015,,,,,,,14/10/2015,,,,,01/07/2016,20/02/2017
4309,,5332,23/11/2016,SBC Renewables,"Site To North East Of, Lochcraigs Farm
",Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Site To North East Of, Lochcraigs Farm, Stevenston, Strathclyde",North Ayrshire,Scotland,Scotland,KA20 4LB,"227,518","643,857",North Ayrshire Council,,,,,,12/05/2015,,,,,,,13/08/2015,,,,13/08/2018,15/10/2016,31/03/2017
4310,,5333,18/04/2016,BWE Partnership,"West Mains of Kinblethmont 
",Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"West Mains of Kinblethmont, Kinblethmont, Arbroath, Tayside",Angus,Scotland,Scotland,DD11 4RW,"363,182","746,857",Angus Council,,,,,,18/05/2015,,,,,,,04/09/2015,,,,04/09/2018,15/02/2016,31/03/2016
4313,,5336,18/05/2016,Wessex Solar Energy,"Land West Side of Axe and Cleaver Lane 
",Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land West Side of, Axe and Cleaver Lane, Southwick, Trowbridge",Wiltshire,South West,England,BA14,"385,331","154,796",Wiltshire Council,,,,,,14/05/2015,,,,,,,20/08/2015,,,,20/08/2018,18/12/2015,31/03/2016
4317,,5340,04/09/2017,Navitas Project,"Land To The North Of Moor Farm       
",Solar Photovoltaics,,,3.8,,,,,,,,Ground,Operational,Operational,"Land To The North Of Moor Farm, Ruyton Road, Baschurch, Shrewsbury",Shropshire,West Midlands,England,SY4 2,"341,738","323,343",Shropshire Council,,,,,,14/05/2015,,,,,,,06/01/2016,,,,06/01/2019,01/06/2016,11/03/2017
4318,,5342,01/12/2017,Greencoat/ Renesola ,Henley Solar Farm,Solar Photovoltaics,,,6.5,,,,,,,,Ground,Operational,Operational,Land North Of Henley Common Henley Lane Acton Scott,Shropshire,West Midlands,England,SY6 6RS,"345,538","287,874",Shropshire Council,APP/L3245/W/15/3022913,,,,,03/11/2014,,16/02/2015,25/06/2015,,,04/01/2016,04/01/2016,,,,,29/12/2016,29/03/2017
4319,,5343,25/04/2016,Greenfields (A),Hawkers Farm,Solar Photovoltaics,,,2.5,,,,,,,,Ground,Operational,Operational,Hawkers Farm Yeo Moor Drove Theale Wedmore,Somerset,South West,England,BS28 4SN,"346,740","147,660",Mendip District Council,APP/Q3305/W/14/3000543,,,,,04/07/2014,,24/11/2014,20/01/2015,,,08/09/2015,08/09/2015,,,,08/09/2018,20/01/2016,20/03/2016
4324,,5357,25/01/2018,Suncredit UK (Sunventures 7) ,Crown Farm,Solar Photovoltaics,,,6,,,,,,,,Ground,Operational,Operational,"Crown Farm, Bagworth Road, Nailstone, Nuneaton, Warwickshire, West Midlands",Leicestershire,East Midlands,England,CV13 0QL,"442,775","307,520",Hinckley and Bosworth Borough Council,,,,,,28/07/2015,,,,,,,30/09/2015,,,,30/09/2018,15/02/2016,01/03/2017
4326,,5359,23/05/2017,UK Sustainable Energy,Eaglescliffe Solar Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Durham Lane, Eaglescliffe, Stockton-On-Tees, Cleveland",County Durham,North East,England,TS16 0AA,"441,817","516,371",Stockton on Tees Borough Council,,,,,,18/09/2015,,,,,,,18/12/2015,,,,18/12/2018,01/01/2017,28/03/2017
4327,,5360,26/05/2017,Lightsource Renewable Energy,Tyddyn Gwyn (Gelli Gron Farm),Solar Photovoltaics,,,3.8,,,,,,,,Ground,Operational,Operational,"Tyddyn Gwyn, Llangybi, Pwllheli, Gwynedd, Wales",Gwynedd,Wales,Wales,LL53 6DQ,"241,889","340,088",Gwynedd Council,,,,,,23/07/2015,,,,,,,09/11/2015,,,,09/11/2020,01/09/2016,30/11/2016
4328,,5368,02/02/2017,Green Hedge (BayWa r.e.),Thornton Lane,Solar Photovoltaics,,,2.7,,,,,,,,Ground,Operational,Operational,"Land East Of, Thornton Lane, Stanton Under Bardon, Markfield, Leicestershire",Leicestershire,East Midlands,England,LE67 9TU,"446,458","309,845",Hinckley and Bosworth Borough Council,,,,,,09/06/2015,,,,,,,08/09/2015,,,,08/09/2018,15/01/2016,23/03/2016
4333,,5376,26/05/2016,SBC Renewables,Penycae Solar Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land To East And West Of, Benn, The Grange Plas, Penycae, Wrexham, Clwyd",Wrexham,Wales,Wales,LL14 1,"328,970","344,020",Wrexham County Borough Council,,,,,,15/07/2015,,,,,,,05/10/2015,,,,05/10/2020,28/01/2016,28/03/2016
4334,,5377,14/06/2016,Sunventures (Suncredit UK),Land at Ingles Hill Farm,Solar Photovoltaics,,,3,,,,,,,,Ground,Operational,Operational,"Land at Ingles Hill Farm, Burton Road, Ashby-De-La-Zouch, Leicestershire",Leicestershire,East Midlands,England,LE65 2TE,"434,525","317,774",North West Leicestershire District Council,,,,,,23/07/2015,,,,,,,29/09/2015,,,,29/09/2018,15/02/2016,15/04/2016
4336,,5379,14/06/2016,Sunventures (Suncredit UK),"Southbrook Solar Farm                
",Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Southbrook Farm, Sudbrook Road, Sudbrook, Portskewett, Caldicot, Gwent",Monmouthshire,Wales,Wales,NP26 5SR,"350,024","187,852",Monmouthshire County Council,,,,,,13/07/2015,,,,,,,03/12/2015,,,,,15/02/2016,15/05/2016
4337,,5380,01/02/2017,Anesco ,Green Croft Solar Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land Between Greencroft Indust, Tower Road/Lanchester Road, Greencroft, Stanley, County Durham",County Durham,North East,England,DH9 7XR,"417,005","550,340",Durham County Council,,,,,,23/07/2015,,,,,,,04/11/2015,,,,,07/10/2016,07/12/2016
4338,,5381,26/04/2017,Suncredit UK,Upper Pant-Ysgawen Farm/Crumlin,Solar Photovoltaics,,,4.9,,,,,,,,Ground,Operational,Operational,"Pant-Ysgawen Farm, Pant Ysgawen Farm Lane, Newbridge, Newport, Gwent",Caerphilly,Wales,Wales,NP11 4RJ,"320,409","197,637",Caerphilly County Borough Council,,,,,,22/07/2015,,,,,,,10/09/2015,,,,10/09/2020,15/02/2016,07/12/2016
4340,,5383,25/04/2016,Anesco,Land at Oxcroft Stocking Ground,Solar Photovoltaics,,,1.2,,,,,,,,Ground,Operational,Operational,"Land At Former Oxcroft Stockin, East Of Woodthorpe Road, Mastin Moor, Chesterfield, Derbyshire",Derbyshire,East Midlands,England,S43 3AZ,"446,492","374,323",Chesterfield Borough Council,,,,,,22/07/2015,,,,,,,08/12/2015,,,,08/12/2018,15/01/2016,25/03/2016
4341,,5384,17/07/2017,West Strathore Solar,West Strathore Solar Limited,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"West Strathore House, Strathore Road, Thornton, Kirkcaldy, Fife",Fife,Scotland,Scotland,KY1 4DY,"328,619","697,504",Fife Council,,,,,,23/07/2015,,,,,,,26/11/2015,,,,26/11/2018,01/11/2016,30/03/2017
4342,,5385,26/05/2017,Lightsource Renewable Energy,Land at Meadow Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land at Meadow Farm, Main Street, Thorpe Langton, Market Harborough, Leicestershire",Leicestershire,East Midlands,England,LE16 7TS,"473,392","291,590",Harborough District Council,,,,,,22/07/2015,,,,,,,08/10/2015,,,,08/10/2018,09/01/2017,10/03/2017
4344,,5387,03/10/2016,Solstice Renewables,Hungerford Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Hungerford Farm, Pale Lane, Winchfield, Hook, Hampshire",Hampshire,South East,England,RG27 8SW,"478,178","153,997",Hart District Council,,,,,,24/07/2015,,,,,,,13/10/2015,,,,13/10/2018,22/06/2016,22/08/2016
4346,,5389,19/08/2016,Novus Solar Developments,Land at Morfa Camp,Solar Photovoltaics,,,2.8,,,,,,,,Ground,Operational,Operational,"Land at Morfa Camp, Sandilands, Tywyn, Gwynedd",Gwynedd,Wales,Wales,LL36 9BH,"258,062","301,195",Gwynedd Council,,,,,,01/07/2015,,,,,,,19/10/2015,,,,,05/01/2016,20/03/2016
4347,,5391,16/05/2017,Murex Energy,Land South of Pogmore Spinney,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land South of Pogmore Spinney, Merevale Lane, Atherstone, Warwickshire",Warwickshire,West Midlands,England,CV9 2LA,"427,328","289,035",North Warwickshire Borough Council,,,,,,24/07/2015,,,,,,,29/02/2016,,,,01/03/2019,23/01/2017,30/03/2017
4350,,5394,03/10/2016,FR Solar Kent PV,Abbey Fields Farm,Solar Photovoltaics,,,5.3,,,,,,,,Ground,Operational,Operational,"Abbey Fields Farm, Abbey Fields, Faversham, Kent",Kent,South East,England,ME13 8HX,"602,383","161,735",Maidstone Borough Council,,,,,,08/07/2015,,,,,,,30/10/2015,,,,30/10/2018,30/01/2016,30/03/2016
4351,,5395,27/05/2016,PEC Renewables,Ernesettle Solar Farm,Solar Photovoltaics,,,4.1,,,,,,,,Ground,Operational,Operational,"Site to the west of, Ernesettle Crescent, Plymouth, Devon",Devon,South West,England,PL5 2ET,"245,039","59,158",Plymouth City Council,,,,,,22/07/2015,,,,,,,25/09/2015,,,,25/09/2018,11/01/2016,23/03/2016
4352,,5396,28/07/2016,Navitas Project,SPF Thirty Acres Farm,Solar Photovoltaics,,,3.8,,,,,,,,Ground,Operational,Operational,"Land Associated with, Carter L, Warsop Vale, Thiry Acres Farm, Mansfield, Nottinghamshire",Nottinghamshire,East Midlands,England,NG20 8XT,"453,745","367,983",Mansfield District Council,,,,,,22/07/2015,,,,,,,18/11/2015,,,,18/11/2018,01/06/2016,31/03/2016
4353,,5398,29/01/2018,Y Felin Ddwr Charitable Trust,Killan Farm Solar Array Extens,Solar Photovoltaics,,,1,,,,,,,,Ground,Operational,Operational,"Killan Fach Farm, Killan Road, Dunvant, Swansea, West Glamorgan",Swansea,Wales,Wales,SA2 7US,"258,483","193,944",City and County Council of Swansea,,,,,,17/07/2015,,,,,,,14/12/2015,,,,14/12/2020,15/05/2017,20/05/2017
4354,,5400,04/06/2018,Gresham House,Land East of Appleton Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Ld N Of East Appleton Hall Far, East Appleton, Richmond, North Yorkshire",North Yorkshire,Yorkshire and Humber,England,DL10 7QE,"423,660","495,768",Richmondshire District Council,,,,,,16/06/2015,,,,,,,14/09/2015,,,,14/09/2018,15/01/2016,27/03/2016
4355,,5401,01/08/2016,Equitix Fund IV,Land At Debdale Lane,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land At Debdale Lane, Burlington Drive, Mansfield, Nottinghamshire",Nottinghamshire,East Midlands,England,NG19 7HS,"452,509","362,845",Mansfield District Council,,,,,,22/07/2015,,,,,,,21/10/2015,,,,21/10/2018,15/01/2016,25/03/2016
4356,,5402,22/02/2016,Lightsource Renewable Energy,Land at Ash Row Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Ash Row Farm, Bishopdyke Road, Sherburn in Elmet, Leeds, West Yorkshire",North Yorkshire,Yorkshire and Humber,England,"LS25 6JJ.                 
                        
                    <br","451,649","433,677",Selby District Council,,,,,,13/07/2015,,,,,,,29/09/2015,,,,29/09/2018,26/10/2015,21/12/2015
4357,,5403,04/06/2018,Gresham House,Land at Stripe Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land West Of East Appleton Hal, East Appleton, Richmond, North Yorkshire",North Yorkshire,Yorkshire and Humber,England,DL10 7QE,"419,640","502,487",Richmondshire District Council,,,,,,16/06/2015,,,,,,,14/09/2015,,,,14/09/2018,15/01/2016,28/03/2016
4358,,5404,26/05/2017,Lightsource Renewable Energy,Land at Bolsover Moor Quarry,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land To The North And East Of, The Works, Whaley Road, Bolsover, Chesterfield, Derbyshire",Derbyshire,East Midlands,England,S44 6XE,"449,860","371,682",Bolsover District Council,,,,,,15/07/2015,,,,,,,29/09/2015,,,,29/09/2018,04/01/2017,01/03/2017
4360,,5406,28/07/2016,Lightsource Renewable Energy,Land To The North Of Dairy House Farm,Solar Photovoltaics,,,3.4,,,,,,,,Ground,Operational,Operational,"Ld To The N Of Dairy House Far, Main Road, Worleston, Nantwich, Cheshire",Cheshire,North West,England,CW5 6DN,"365,834","356,455",Cheshire East Council,,,,,,19/06/2015,,,,,,,30/09/2015,,,,,05/01/2016,27/02/2016
4361,,5407,19/08/2016,Novus Solar Developments,Pennington Recycling Centre,Solar Photovoltaics,,,1.2,,,,,,,,Ground,Operational,Operational,"Pennington Recycling Centre, Milford Road, Pennington, Lymington, Hampshire",Hampshire,South East,England,SO41 8QZ,"430,922","93,325",New Forest District Council,,,,,,08/07/2015,,,,,,,29/09/2015,,,,29/09/2018,05/01/2016,20/03/2016
4366,,5412,24/08/2016,Lightsource Renewable Energy,Land west of Welton Road,Solar Photovoltaics,,,4.4,,,,,,,,Ground,Operational,Operational,"Land west of, Welton Road, Dalston, Carlisle, Cumbria",Cumbria,North West,England,CA5 7EL,"335,683","546,464",Carlisle City Council,,,,,,03/07/2015,,,,,,,23/10/2015,,,,23/10/2018,03/02/2016,29/03/2016
4369,,5415,31/10/2017,Global Renewable Construction,Twin Yards Solar Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land To The South East Of, The Hideaway, Pasture Lane, Hilcote, Alfreton, Derbyshire",Derbyshire,East Midlands,England,"DE55 5HQ.                 
                        
                    <br>
","445,514","358,173",Bolsover District Council,,,,,,09/07/2015,,,,,,,25/09/2015,,,,25/09/2018,20/01/2017,20/03/2017
4371,,5418,21/08/2018,Green Highland Renewables,River Coiltie Hydro Scheme,Small Hydro,,,1.9,,,,,,,,,Operational,Operational,"Land At Corbay Wood Glen, Coiltie, Drumnadrochit, Inverness",Highland,Scotland,Scotland,IV63,"249,251","827,905",Highland Council,,,,,,07/07/2015,,,,,,,18/09/2015,,,,18/09/2018,15/08/2016,01/07/2017
4376,,5424,20/04/2017,TGC Renewables,Land of Green Lane,Solar Photovoltaics,,,5.8,,,,,,,,Ground,Operational,Operational,"Land At, Green Lane, Marchington, Uttoxeter",Staffordshire,West Midlands,England,ST14 8LQ,"414,839","330,919",East Staffordshire Borough Council,,,,,,03/07/2015,,,,,,,23/09/2015,,,,23/09/2018,12/12/2016,31/03/2017
4377,,5425,04/03/2016,Actrees Solar Power/ Vogt Solar,Land At  Actrees Farm,Solar Photovoltaics,,"7,230",5,,,,,,,,Ground,Operational,Operational,"Land At  Actrees Farm, Heathfield, Alkington, Berkeley",Gloucestershire,South West,England,GL13 9PP,"371,098","198,169",Stroud District Council,,,,,,26/06/2015,,,,,,,29/10/2015,,,,29/10/2018,25/11/2015,28/01/2016
4379,,5428,23/06/2017,British Solar Renewables / NextEnergy Solar Fund (NESF),Land at Bowden Lane,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land at Bowden Lane, Henstridge, Templecombe",Somerset,South West,England,BA8 0PB,"370,004","120,357",South Somerset District Council,,,,,,16/06/2015,,,,,,,19/10/2015,,,,19/10/2018,04/01/2017,31/03/2017
4380,,5429,23/06/2017,British Solar Renewables / NextEnergy Solar Fund (NESF),Land at Stalbridge Park,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land at Stalbridge Park, Landshire Lane, Henstridge, Templecombe, Somerset",Dorset,South West,England,BA8 0SD,"373,303","119,285",North Dorset District Council,,,,,,03/07/2015,,,,,,,13/10/2015,,,,13/10/2018,04/01/2017,31/03/2017
4381,,5430,28/07/2016,Frogs Loke Solar,Frog's Loke Solar Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land at Frog''s Loke, North Walsham Road, Norwich, Norfolk",Norfolk,Eastern,England,NR28 9LZ,"629,164","327,731",North Norfolk District Council,,,,,,26/06/2015,,,,,,,16/10/2015,,,,16/10/2018,16/11/2015,12/01/2016
4386,,5435,03/05/2017,Lightsource Renewable Energy,Lands West of Belfast Road,Solar Photovoltaics,,,10,,,,,,,,Ground,Operational,Operational,"Lands Approximately 140m West, 66 Belfast Road, Nutts Corner, Crumlin, Co Antrim",Co. Antrim,Northern Ireland,Northern Ireland,BT29 4TH,"134,568","534,503",Northern Ireland Planning Service,,,,,,29/06/2015,,,,,,,23/12/2015,,,,21/12/2020,15/02/2017,15/03/2017
4388,,5437,01/12/2017,Pearmat Solar,Manmoel Road Solar Park,Solar Photovoltaics,,,4.1,,,,,,,,Ground,Operational,Operational,"Pen-y-Fan Farm, Pen-y-Fan Farm Lane, Manmoel, Blackwood, Gwent",Caerphilly,Wales,Wales,NP12 0HZ,"318,604","201,211",Caerphilly County Borough Council,,,,,,30/06/2015,,,,,,,05/11/2015,,,,05/11/2020,30/01/2017,30/03/2017
4390,,5440,25/01/2017,Wessex Solar Energy,Huntspill Level Solar Park,Solar Photovoltaics,,,5.5,,,,,,,,Ground,Operational,Operational, Bangor (bounded by Belfast Road,Somerset,South West,England,TA9 3NP,"332,877","144,342",Sedgemoor District Council,,,,,,19/06/2015,,,,,,,11/09/2015,,,,11/09/2018,15/01/2016,15/03/2016
4392,,5442,14/06/2016,Suncredit UK,Land at Box Road,Solar Photovoltaics,,,2.2,,,,,,,,Ground,Operational,Operational,"Land N/O Cam and Coaley Railway, Box Road, Cam, Dursley, Gloucestershire",Gloucestershire,South West,England,GL11 5DJ,"375,183","202,249",Stroud District Council,,,,,,30/06/2015,,,,,,,29/09/2015,,,,29/09/2018,15/02/2016,24/03/2016
4393,,5443,28/07/2017,Lightsource Renewable Energy,Hillside Solar Farm,Solar Photovoltaics,,,25.2,,,,,,,,Ground,Operational,Operational,"Lds Approximately 180m S Of, 7a Lough Road, Ballinderry Upper, Lisburn, Co Antrim",Co. Antrim,Northern Ireland,Northern Ireland,BT28 2PQ,"129,820","526,363",Northern Ireland Planning Service,,,,,,30/06/2015,,,,,,,19/05/2016,,,,18/05/2021,15/02/2017,15/03/2017
4396,,5447,26/05/2017,Lightsource Renewable Energy,Land south of Wood Lane (Safeguard Bradwell),Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land south of, Wood Lane, Bradwall, Sandbach, Cheshire",Cheshire,North West,England,CW11 1PA,"374,525","362,487",Cheshire East Council,,,,,,31/03/2015,,,,,,,04/09/2015,,,,,22/09/2016,15/01/2017
4399,,5450,02/01/2019,Hadstone Energy,South Antrim Solar Park - Phase 1,Solar Photovoltaics,,,6.5,,,,,,,,Ground,Operational,Operational,"Lands approx 550m South of, 99 Dublin Road, Antrim",Co. Antrim,Northern Ireland,Northern Ireland,BT41 4PN,"127,265","541,491",Northern Ireland Planning Service,,,,,,30/06/2015,,,,,,,26/04/2016,,,,25/04/2021,10/03/2018,10/05/2018
4400,,5451,02/03/2018,Core Aries (Renewable Energy),Newton Downs Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Newton Downs Farm, Newton Ferrers, Plymouth, Devon",Devon,South West,England,PL8 1JA,"255,576","49,352",South Hams District Council,,,,,,26/06/2015,,,,,,,15/07/2016,,,,,31/10/2016,15/02/2017
4402,,5453,31/08/2016,Solar Century/ Bluefield Solar ,Bunn's Hill Solar Park,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land At Bunn's Hill, North Walsham Road, Norwich, Norfolk",Norfolk,Eastern,England,NR6 7JG,"629,164","327,731",North Norfolk District Council,,,,,,26/06/2015,,,,,,,16/10/2015,,,,16/10/2018,03/12/2015,03/02/2016
4411,,5465,05/02/2016,Sunsave 38/ Vogt Solar,Rushmoor Lane Farm (Cheshire Coppice),Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land North Of, Rushmoor Lane, Bratton, Telford",Shropshire,West Midlands,England,TF5 0DA,"362,767","314,537",Telford and Wrekin Council,,,,,,17/06/2015,,,,,,,13/10/2015,,,,13/10/2018,25/11/2015,28/01/2016
4416,,5472,27/06/2017,Tealing Solar Parks,Fullenton Solar Farm,Solar Photovoltaics,,,4.2,,,,,,,,Ground,Operational,Operational,"Land At Fullerton Farm, Fullerton Road, Cottonworth, Andover, Hampshire",Hampshire,South East,England,SP11 7JX,"437,992","139,758",Test Valley Borough Council,,,,,,25/06/2015,,,,,,,11/12/2015,,,,11/12/2018,15/10/2016,15/12/2016
4420,,5477,24/03/2017,Kronos Solar,Cwm Derwyn Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Cwm Derwyn Farm, Waycock Road, Barry, South Glamorgan",Vale of Glamorgan,Wales,Wales,CF62 3AA,"308,691","169,396",Vale of Glamorgan Council,,,,,,01/06/2015,,,,,,,04/09/2015,,,,,15/01/2017,17/03/2017
4421,,5478,01/02/2017,First Renewable Developments,Land to the west of Ashfordby Business Park,Solar Photovoltaics,,,3.5,,,,,,,,Ground,Operational,Operational,"Field 0051 and 7540, Welby Road, Asfordby Hill, Melton Mowbray, Leicestershire",Leicestershire,East Midlands,England,LE14 3RE,"471,735","320,630",Melton Borough Council,,,,,,11/06/2015,,,,,,,10/09/2015,,,,10/09/2018,26/02/2016,26/04/2016
4425,,5482,28/05/2020,Gridserve,York Solar Farm,Solar Photovoltaics,,,34.7,,,,,,,,Ground,Operational,Operational,"Boscar Grange Farm, Thirsk Road, Easingwold, York, North Yorkshire",North Yorkshire,Yorkshire and Humber,England,YO61 3NQ,"450,521","472,345",Hambleton District Council,,,,,,05/06/2015,,,,,,,21/09/2015,,,,,23/05/2019,18/12/2019
4426,,5483,28/07/2016,Solar Century/ Bluefield Solar ,Land Off Folly Lane,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land Off, Folly Lane, Stickney, Boston, Lincolnshire",Lincolnshire,East Midlands,England,PE22 8BN,"532,650","358,372",East Lindsey District Council,,,,,,18/06/2015,,,,,,,17/09/2015,,,,17/09/2018,05/01/2016,07/03/2016
4428,,5485,17/06/2016,Murex Energy,Land At Bake Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land At Bake Farm, Bake Lane, Trerulefoot, Saltash, Cornwall",Cornwall,South West,England,PL12 5,"232,647","58,419",Cornwall Council,,,,,,19/06/2015,,,,,,,01/09/2015,,,,01/09/2018,21/01/2016,31/03/2016
4429,,5486,20/07/2017,Solar Power Inc UK Services/SPI China (HK),Land To The South Of Todderstaffe,Solar Photovoltaics,,,4.5,,,,,,,,Ground,Operational,Operational,"Ld To The S Of Todderstaffe Ha, Singleton, Weeton With Preese, Poulton-Le-Fylde, Lancashire",Lancashire,North West,England,FY6 8LF,"336,767","436,761",Fylde Borough Council,,,,,,18/06/2015,,,,,,,17/11/2015,,,,16/11/2018,04/01/2016,28/03/2017
4430,,5487,22/04/2016,Sunsave 30 (Strettington)/ Vogt solar ,Strettington Solar Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Field South East Of Temple Bar, Strettington, Boxgrove, Chichester, West Sussex",West Sussex,South East,England,PO18 0LB,"489,500","107,164",Chichester District Council,,,,,,15/05/2015,,,,,,,21/10/2015,,,,21/10/2018,25/11/2015,23/03/2016
4431,,5497,26/04/2017,Octopus Investments,Cressing Solar Farm (Phase 1),Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land South Of Sheepcote Wood B, Witham Road, Cressing, Braintree, Essex",Essex,Eastern,England,CM77 8NZ,"579,287","219,000",Braintree District Council,,,,,,24/07/2015,,,,,,,12/11/2015,,,,12/11/2018,01/05/2016,16/03/2016
4432,,5498,26/04/2017,Conergy,Land north of Ashton Road,Solar Photovoltaics,,,4,,,,,,,,Ground,Operational,Operational,"Land north of, Ashton Road, Ashton Common, Steeple Ashton, Trowbridge, Wiltshire",Wiltshire,South West,England,BA14 6DY,"389,300","158,100",Wiltshire Council,,,,,,22/07/2015,,,,,,,22/12/2015,,,,22/12/2018,24/12/2016,24/03/2017
4433,,5499,01/04/2016,Vattenfall,Parc Cynog,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Parc Cynog, Pendine, Carms",Carmarthenshire,Wales,Wales,SA33 4PT,"225,230","209,760",Carmarthenshire County Council,,,,,,10/08/2015,,,,,,,10/11/2015,,,,10/11/2018,18/01/2016,24/03/2016
